order_id,cart_status,amount_inr,timestamp,customer_email
order_b31439ae,fulfilled,6679.51,2026-08-28T02:14:00.318723,user0@example.com
order_82c95656,fulfilled,8078.02,2026-08-30T07:14:00.318837,user1@example.com
order_858309eb,fulfilled,1726.99,2026-08-19T21:14:00.318854,user2@example.com
order_fc241f26,fulfilled,2154.36,2026-08-18T21:14:00.318866,user3@example.com
order_21e96347,fulfilled,1442.58,2026-08-20T12:14:00.318876,user4@example.com
order_342df8c2,fulfilled,4529.55,2026-08-29T11:14:00.318886,user5@example.com
order_cda9ae85,fulfilled,8842.82,2026-08-29T20:14:00.318895,user6@example.com
order_77de72ac,fulfilled,5041.06,2026-08-19T13:14:00.318903,user7@example.com
order_c9071fe5,fulfilled,8663.03,2026-08-19T06:14:00.318910,user8@example.com
order_0970295d,fulfilled,2738.9,2026-08-26T13:14:00.318919,user9@example.com
order_16ec6ce6,fulfilled,12723.33,2026-08-18T21:14:00.318949,user10@example.com
order_ef033b8b,fulfilled,18969.87,2026-08-19T00:14:00.318963,user11@example.com
order_bb6a87f1,fulfilled,11835.17,2026-08-30T06:14:00.318993,user12@example.com
order_64437f5f,fulfilled,19532.23,2026-08-30T08:14:00.319009,user13@example.com
order_500c0b68,fulfilled,11266.3,2026-08-28T11:14:00.319020,user14@example.com
order_9620b4a0,fulfilled,6005.3,2026-08-28T06:14:00.319027,user15@example.com
order_fe771ecf,fulfilled,10951.51,2026-08-19T03:14:00.319035,user16@example.com
order_be02ee05,fulfilled,6377.09,2026-08-27T11:14:00.319044,user17@example.com
order_e3ce55d1,fulfilled,2330.2,2026-08-19T03:14:00.319052,user18@example.com
order_3f1a2c27,fulfilled,12886.6,2026-08-23T09:14:00.319059,user19@example.com
order_c6801304,fulfilled,2219.38,2026-08-29T23:14:00.319069,user20@example.com
order_3077d38a,fulfilled,11418.06,2026-08-26T22:14:00.319077,user21@example.com
order_9e3f9b73,fulfilled,10079.37,2026-08-19T23:14:00.319107,user22@example.com
order_7bd3e6ae,fulfilled,8723.57,2026-08-24T15:14:00.319120,user23@example.com
order_d57a8bc5,fulfilled,9472.36,2026-08-21T15:14:00.319129,user24@example.com
order_24399256,fulfilled,7423.17,2026-08-26T00:14:00.319138,user25@example.com
order_0b8d0779,fulfilled,15949.28,2026-08-26T03:14:00.319146,user26@example.com
order_bad83f0e,fulfilled,1912.54,2026-08-24T22:14:00.319155,user27@example.com
order_853c0869,fulfilled,10646.37,2026-08-24T00:14:00.319162,user28@example.com
order_e1d33dd2,fulfilled,14670.07,2026-08-25T04:14:00.319195,user29@example.com
order_f52bface,fulfilled,12296.49,2026-08-29T18:14:00.319209,user30@example.com
order_b5afde0c,fulfilled,2625.9,2026-08-22T09:14:00.319220,user31@example.com
order_199c5c7b,fulfilled,3549.75,2026-08-24T00:14:00.319229,user32@example.com
order_7a0cfcb1,fulfilled,3294.1,2026-08-20T21:14:00.319237,user33@example.com
order_08327484,fulfilled,8607.46,2026-08-29T16:14:00.319244,user34@example.com
order_b79d7304,fulfilled,15362.05,2026-08-19T02:14:00.319274,user35@example.com
order_c2b146d8,fulfilled,15845.16,2026-08-24T15:14:00.319288,user36@example.com
order_a9e20661,fulfilled,7000.41,2026-08-23T20:14:00.319298,user37@example.com
order_8ef9da9c,fulfilled,12009.09,2026-08-18T23:14:00.319306,user38@example.com
order_5c5097f6,fulfilled,15998.77,2026-08-29T20:14:00.319314,user39@example.com
order_8dfe088f,pending,16847.37,2026-08-29T21:14:00.319324,phantom0@example.com
order_9daef5c5,pending,6399.27,2026-08-28T22:14:00.319344,phantom2@example.com
order_4afeb5ec,pending,7900.09,2026-08-29T11:14:00.319352,phantom3@example.com
order_280318d1,pending,2848.0,2026-08-30T00:14:00.319394,phantom6@example.com
order_ebde3d38,pending,18361.28,2026-08-28T16:14:00.319409,phantom7@example.com
order_f4369566,pending,9148.99,2026-08-28T09:14:00.319446,phantom8@example.com
