session_id,timestamp,cart_value_inr,dwell_seconds,returning_visitor,device,wallet_shown,currency_shown,customer_email,true_cause
sess_46393fb1,2026-08-23T05:16:28.700556,21862.44,62,False,mobile,False,INR,cart17@example.com,payment_method_missing
sess_3f18e1b7,2026-08-29T07:16:28.700646,6372.3,58,True,mobile,True,INR,cart20@example.com,currency_confusion
sess_22d13889,2026-08-30T06:16:28.700971,4213.29,11,True,desktop,True,INR,cart39@example.com,distraction_dropoff
sess_625f363e,2026-08-29T07:16:28.700873,686.17,17,False,mobile,True,INR,cart34@example.com,distraction_dropoff
sess_2cb68e53,2026-08-30T15:16:28.700252,13999.53,382,False,mobile,True,INR,cart5@example.com,price_hesitation
sess_19b68333,2026-08-25T01:16:28.700957,2297.44,25,False,desktop,True,INR,cart38@example.com,distraction_dropoff
sess_5920bfd1,2026-08-27T04:16:28.700486,1105.71,41,False,mobile,False,INR,cart15@example.com,payment_method_missing
sess_839a594c,2026-08-23T00:16:28.700681,1114.31,36,True,mobile,True,INR,cart23@example.com,currency_confusion
sess_34cd1145,2026-08-27T17:16:28.700836,3264.26,14,False,mobile,True,INR,cart31@example.com,distraction_dropoff
sess_f90c6faf,2026-08-26T22:16:28.700671,1183.81,17,True,desktop,True,INR,cart22@example.com,currency_confusion
sess_08edd826,2026-08-30T21:16:28.700862,1026.81,7,True,desktop,True,INR,cart33@example.com,distraction_dropoff
sess_69f6972f,2026-08-26T21:16:28.700807,16124.04,44,False,desktop,True,INR,cart29@example.com,currency_confusion
sess_38a96c3f,2026-08-29T08:16:28.700178,14208.5,347,False,desktop,True,INR,cart1@example.com,price_hesitation
sess_8bae1847,2026-08-24T02:16:28.700384,17994.04,395,False,desktop,True,INR,cart9@example.com,price_hesitation
sess_d831e20c,2026-08-25T05:16:28.700112,27994.23,392,False,desktop,True,INR,cart0@example.com,price_hesitation
sess_3045e3d9,2026-08-26T04:16:28.700616,3219.45,45,True,mobile,False,INR,cart19@example.com,payment_method_missing
sess_42046512,2026-08-26T19:16:28.700466,28431.07,81,False,mobile,False,INR,cart14@example.com,payment_method_missing
sess_4be14981,2026-08-28T19:16:28.700885,4443.65,24,True,desktop,True,INR,cart35@example.com,distraction_dropoff
sess_eef5a215,2026-08-30T10:16:28.700787,16072.05,26,False,mobile,True,INR,cart28@example.com,currency_confusion
sess_7041c062,2026-08-24T13:16:28.700442,13586.12,81,True,mobile,False,INR,cart12@example.com,payment_method_missing
sess_9ca32996,2026-08-24T03:16:28.700204,18914.21,385,False,desktop,True,INR,cart2@example.com,price_hesitation
sess_89eb8f54,2026-08-31T05:16:28.700849,1510.05,13,False,desktop,True,INR,cart32@example.com,distraction_dropoff
sess_f8b4a084,2026-08-24T10:16:28.700597,26133.92,49,True,mobile,False,INR,cart18@example.com,payment_method_missing
sess_fdc83947,2026-08-24T17:16:28.700734,10204.04,21,True,desktop,True,INR,cart26@example.com,currency_confusion
sess_8c35f300,2026-08-30T23:16:28.700454,20879.56,55,False,mobile,False,INR,cart13@example.com,payment_method_missing
sess_75d41c49,2026-08-30T04:16:28.700535,28762.97,42,False,mobile,False,INR,cart16@example.com,payment_method_missing
sess_a5117b23,2026-08-24T01:16:28.700237,29791.23,229,False,desktop,True,INR,cart4@example.com,price_hesitation
sess_7c766805,2026-08-23T06:16:28.700720,20311.26,33,True,desktop,True,INR,cart25@example.com,currency_confusion
sess_d0ba5f53,2026-08-30T18:16:28.700221,20223.38,283,False,desktop,True,INR,cart3@example.com,price_hesitation
sess_19e0bf96,2026-08-30T03:16:28.700279,10051.84,196,True,mobile,True,INR,cart7@example.com,price_hesitation
sess_80c69a4d,2026-08-30T12:16:28.700895,4359.07,18,True,mobile,True,INR,cart36@example.com,distraction_dropoff
sess_d6b63be4,2026-08-27T22:16:28.700356,27075.76,223,False,desktop,True,INR,cart8@example.com,price_hesitation
sess_9a79ecef,2026-08-27T17:16:28.700745,11909.97,27,False,desktop,True,INR,cart27@example.com,currency_confusion
sess_49bb9808,2026-08-23T18:16:28.700937,2457.46,25,False,desktop,True,INR,cart37@example.com,distraction_dropoff
sess_0a682b68,2026-08-27T21:16:28.700822,853.92,5,True,mobile,True,INR,cart30@example.com,distraction_dropoff
sess_b9c8881d,2026-08-23T02:16:28.700660,825.16,24,False,mobile,True,INR,cart21@example.com,currency_confusion
sess_c8d5a1e2,2026-08-27T10:16:28.700692,3117.55,16,False,desktop,True,INR,cart24@example.com,currency_confusion
sess_1f9dd191,2026-08-23T05:16:28.700428,23524.93,89,True,mobile,False,INR,cart11@example.com,payment_method_missing
sess_d01e7938,2026-08-28T01:16:28.700412,14840.15,68,False,mobile,False,INR,cart10@example.com,payment_method_missing
sess_0bff6b51,2026-08-31T06:16:28.700266,12079.6,319,False,desktop,True,INR,cart6@example.com,price_hesitation
