transaction_id,timestamp,amount_inr,is_international,issuer_country,card_network,device,three_ds_attempted,wallet_offered,decline_code,customer_email,customer_address,true_cause
txn_c47a7f97d1,2026-09-05T13:00:06.510235,3779.09,True,SG,mastercard,mobile,False,True,risk_declined,user22@example.com,"33 Main St, City7",issuer_risk
txn_c082b351f2,2026-08-29T17:00:06.510639,10468.71,False,IN,mastercard,desktop,True,True,insufficient_funds,user38@example.com,"874 Main St, City8",insufficient_funds
txn_fbebec87aa,2026-08-29T10:00:06.510330,91.16,False,US,rupay,desktop,False,True,fraud_suspected,bot28_3@mailinator.com,"42 Test Ave, City0",fraud_bot
txn_77c5a72e3f,2026-08-28T14:00:06.510800,5512.46,False,IN,rupay,mobile,False,False,bank_server_down,user51@example.com,"806 Main St, City6",infra_error
txn_bef08fd4fa,2026-09-04T18:00:06.510621,14114.49,False,IN,visa,desktop,True,True,insufficient_funds,user36@example.com,"138 Main St, City6",insufficient_funds
txn_d4fdf4216c,2026-08-29T07:00:06.510754,6046.85,False,IN,visa,mobile,False,True,bank_server_down,user47@example.com,"40 Main St, City2",infra_error
txn_8bc62c93a0,2026-08-31T19:00:06.510661,11247.85,False,IN,mastercard,desktop,True,True,insufficient_funds,user41@example.com,"565 Main St, City11",insufficient_funds
txn_22fce8f91f,2026-08-30T17:00:06.510915,8582.38,True,IN,visa,desktop,True,False,technical_error,user60@example.com,"940 Main St, City0",unclear
txn_83fab1e438,2026-08-29T17:00:06.509905,20655.04,True,SG,mastercard,desktop,True,True,technical_error,user2@example.com,"285 Main St, City2",3ds_mismatch
txn_902673d106,2026-08-22T15:00:06.510138,23239.53,True,SG,mastercard,mobile,False,False,technical_error,user16@example.com,"109 Main St, City1",wallet_absent
txn_3cdfab8ced,2026-09-04T13:00:06.510653,1139.26,False,IN,amex,desktop,True,True,insufficient_funds,user40@example.com,"342 Main St, City10",insufficient_funds
txn_731c8d6c2b,2026-08-29T14:00:06.510021,3725.54,True,DE,amex,mobile,False,False,technical_error,user10@example.com,"936 Main St, City10",wallet_absent
txn_e97f225dec,2026-08-26T18:00:06.510825,6334.81,False,SG,amex,desktop,True,True,technical_error,user54@example.com,"303 Main St, City9",unclear
txn_57ee2d9ced,2026-08-29T17:00:06.509979,34969.62,True,US,mastercard,mobile,True,True,technical_error,user6@example.com,"82 Main St, City6",3ds_mismatch
txn_6cad4e3cb4,2026-08-31T14:00:06.510364,79.97,True,AU,mastercard,mobile,False,True,fraud_suspected,bot31_912@mailinator.com,"42 Test Ave, City0",fraud_bot
txn_4e4e0d7ef8,2026-08-22T22:00:06.510669,1591.04,False,IN,visa,mobile,True,True,insufficient_funds,user42@example.com,"905 Main St, City12",insufficient_funds
txn_f2a7ec27b1,2026-08-21T16:00:06.510282,18595.86,True,US,visa,mobile,True,True,risk_declined,user25@example.com,"348 Main St, City10",issuer_risk
txn_28d56b01c8,2026-08-25T02:00:06.510817,9535.75,False,IN,amex,mobile,True,False,bank_server_down,user53@example.com,"680 Main St, City8",infra_error
txn_b3483fd6c8,2026-08-22T21:00:06.510876,6905.9,True,SG,rupay,desktop,True,False,technical_error,user56@example.com,"692 Main St, City11",unclear
txn_bbe59689f2,2026-08-29T17:00:06.510906,6294.97,False,GB,rupay,desktop,True,True,technical_error,user59@example.com,"152 Main St, City14",unclear
txn_11a565ef2e,2026-09-02T03:00:06.509991,7989.31,True,DE,amex,desktop,True,True,technical_error,user7@example.com,"364 Main St, City7",3ds_mismatch
txn_735c90cd44,2026-08-21T13:00:06.510197,29960.99,True,CA,mastercard,mobile,True,False,risk_declined,user19@example.com,"970 Main St, City4",issuer_risk
txn_bc9a0c4e2e,2026-09-03T01:00:06.510315,281.59,True,US,visa,mobile,False,True,fraud_suspected,bot27_870@mailinator.com,"42 Test Ave, City0",fraud_bot
txn_5319856448,2026-08-29T07:00:06.510245,24634.14,True,SG,mastercard,desktop,False,True,risk_declined,user23@example.com,"741 Main St, City8",issuer_risk
txn_9dd840890f,2026-08-30T11:00:06.510897,4050.22,False,SG,visa,mobile,True,False,technical_error,user58@example.com,"487 Main St, City13",unclear
txn_6b829af0b1,2026-08-28T12:00:06.510630,4449.05,False,IN,mastercard,mobile,True,True,insufficient_funds,user37@example.com,"620 Main St, City7",insufficient_funds
txn_b320f26bcf,2026-08-27T16:00:06.510039,16800.24,True,CA,rupay,mobile,False,False,technical_error,user12@example.com,"142 Main St, City12",wallet_absent
txn_597a0a1991,2026-08-26T08:00:06.510590,129.04,False,AU,rupay,desktop,False,True,fraud_suspected,bot33_770@mailinator.com,"42 Test Ave, City0",fraud_bot
txn_4a1ba32fa8,2026-08-30T01:00:06.510764,12397.78,False,IN,amex,desktop,True,True,bank_server_down,user48@example.com,"893 Main St, City3",infra_error
txn_f4ab5dea2e,2026-08-29T19:00:06.510031,7114.92,True,AU,rupay,mobile,True,False,technical_error,user11@example.com,"143 Main St, City11",wallet_absent
txn_a14df6218a,2026-08-28T21:00:06.510569,101.06,False,DE,visa,mobile,False,True,fraud_suspected,bot32_734@mailinator.com,"42 Test Ave, City0",fraud_bot
txn_ba74604562,2026-09-02T15:00:06.509793,10665.91,True,SG,mastercard,desktop,True,True,technical_error,user0@example.com,"755 Main St, City0",3ds_mismatch
txn_65de746675,2026-09-03T21:00:06.510354,279.85,False,CA,amex,mobile,False,True,fraud_suspected,bot30_544@mailinator.com,"42 Test Ave, City0",fraud_bot
txn_130dfeeb52,2026-09-03T08:00:06.510612,295.96,False,CA,amex,desktop,False,True,fraud_suspected,bot35_827@mailinator.com,"42 Test Ave, City0",fraud_bot
txn_7af3b35170,2026-09-02T21:00:06.509885,4941.33,True,AU,visa,mobile,True,True,technical_error,user1@example.com,"239 Main St, City1",3ds_mismatch
txn_a759a49eef,2026-08-24T19:00:06.510791,14118.94,False,IN,amex,desktop,False,True,bank_server_down,user50@example.com,"119 Main St, City5",infra_error
txn_9f720da51e,2026-08-27T23:00:06.510646,13627.38,False,IN,amex,desktop,True,True,insufficient_funds,user39@example.com,"867 Main St, City9",insufficient_funds
